,name,url,promoted_content,query,tweet_volume,time
0,Queiroz,http://twitter.com/search?q=Queiroz,,Queiroz,588001.0,2020-06-18 13:57:34.942733-03:00
1,GRANDE DIA,http://twitter.com/search?q=%22GRANDE+DIA%22,,%22GRANDE+DIA%22,104730.0,2020-06-18 13:57:34.942733-03:00
2,Bonner,http://twitter.com/search?q=Bonner,,Bonner,40404.0,2020-06-18 13:57:34.942733-03:00
3,Flávio Bolsonaro,http://twitter.com/search?q=%22Fl%C3%A1vio+Bolsonaro%22,,%22Fl%C3%A1vio+Bolsonaro%22,129092.0,2020-06-18 13:57:34.942733-03:00
4,Landim,http://twitter.com/search?q=Landim,,Landim,11972.0,2020-06-18 13:57:34.942733-03:00
5,the last of us,http://twitter.com/search?q=%22the+last+of+us%22,,%22the+last+of+us%22,54101.0,2020-06-18 13:57:34.942733-03:00
6,Jornal Nacional,http://twitter.com/search?q=%22Jornal+Nacional%22,,%22Jornal+Nacional%22,16510.0,2020-06-18 13:57:34.942733-03:00
7,Alexa,http://twitter.com/search?q=Alexa,,Alexa,68152.0,2020-06-18 13:57:34.942733-03:00
8,#EtecsContraOAssedio,http://twitter.com/search?q=%23EtecsContraOAssedio,,%23EtecsContraOAssedio,,2020-06-18 13:57:34.942733-03:00
9,Tony Montana,http://twitter.com/search?q=%22Tony+Montana%22,,%22Tony+Montana%22,,2020-06-18 13:57:34.942733-03:00
10,Cyberpunk 2077,http://twitter.com/search?q=%22Cyberpunk+2077%22,,%22Cyberpunk+2077%22,,2020-06-18 13:57:34.942733-03:00
11,Keno,http://twitter.com/search?q=Keno,,Keno,,2020-06-18 13:57:34.942733-03:00
12,Flavinho,http://twitter.com/search?q=Flavinho,,Flavinho,,2020-06-18 13:57:34.942733-03:00
13,#Fanfare,http://twitter.com/search?q=%23Fanfare,,%23Fanfare,85667.0,2020-06-18 13:57:34.942733-03:00
14,Globo Rural,http://twitter.com/search?q=%22Globo+Rural%22,,%22Globo+Rural%22,,2020-06-18 13:57:34.942733-03:00
15,FlaTV,http://twitter.com/search?q=FlaTV,,FlaTV,,2020-06-18 13:57:34.942733-03:00
16,#6YEARS_WITH_MAMAMOO,http://twitter.com/search?q=%236YEARS_WITH_MAMAMOO,,%236YEARS_WITH_MAMAMOO,46841.0,2020-06-18 13:57:34.942733-03:00
17,Evandro,http://twitter.com/search?q=Evandro,,Evandro,,2020-06-18 13:57:34.942733-03:00
18,#Snydercut,http://twitter.com/search?q=%23Snydercut,,%23Snydercut,,2020-06-18 13:57:34.942733-03:00
19,Tirei Curitiba,http://twitter.com/search?q=%22Tirei+Curitiba%22,,%22Tirei+Curitiba%22,,2020-06-18 13:57:34.942733-03:00
20,Advogado,http://twitter.com/search?q=Advogado,,Advogado,208637.0,2020-06-18 13:57:34.942733-03:00
21,#HYYHParty,http://twitter.com/search?q=%23HYYHParty,,%23HYYHParty,69224.0,2020-06-18 13:57:34.942733-03:00
22,Darkseid,http://twitter.com/search?q=Darkseid,,Darkseid,,2020-06-18 13:57:34.942733-03:00
23,Rita lobo,http://twitter.com/search?q=%22Rita+lobo%22,,%22Rita+lobo%22,,2020-06-18 13:57:34.942733-03:00
24,Tirei Rio de Janeiro,http://twitter.com/search?q=%22Tirei+Rio+de+Janeiro%22,,%22Tirei+Rio+de+Janeiro%22,,2020-06-18 13:57:34.942733-03:00
25,Essa MP,http://twitter.com/search?q=%22Essa+MP%22,,%22Essa+MP%22,,2020-06-18 13:57:34.942733-03:00
26,André Ceciliano,http://twitter.com/search?q=%22Andr%C3%A9+Ceciliano%22,,%22Andr%C3%A9+Ceciliano%22,15740.0,2020-06-18 13:57:34.942733-03:00
27,Sítio,http://twitter.com/search?q=S%C3%ADtio,,S%C3%ADtio,77023.0,2020-06-18 13:57:34.942733-03:00
28,Werner,http://twitter.com/search?q=Werner,,Werner,174182.0,2020-06-18 13:57:34.942733-03:00
29,#NowUnitedLetTheMusicMoveYou,http://twitter.com/search?q=%23NowUnitedLetTheMusicMoveYou,,%23NowUnitedLetTheMusicMoveYou,,2020-06-18 13:57:34.942733-03:00
30,#QuintaDetremuraSDV,http://twitter.com/search?q=%23QuintaDetremuraSDV,,%23QuintaDetremuraSDV,,2020-06-18 13:57:34.942733-03:00
31,#BrilhaThelminha,http://twitter.com/search?q=%23BrilhaThelminha,,%23BrilhaThelminha,,2020-06-18 13:57:34.942733-03:00
